name;latitude;longitude;address
Café Palhares;-19.9164141;-43.9443398;Rua dos Tupinambás, 638 , Centro, Belo Horizonte - MG, 30120-070
Camisola Bar;-19.8926606;-43.9246059;R. Luther King, 242 , Cidade Nova, Belo Horizonte - MG, 31170-100
Cantina Arte Quintal;-19.9014096;-43.9756523;R. Realengo, 150 , Caiçara, Belo Horizonte - MG, 30750-430
Cantinho da Baiana;-19.8972077;-43.8960229;R. Itaité, 422 , São Geraldo, Belo Horizonte - MG, 31050-550
Casa Mojubá;-19.9162948;-43.9182816;Rua Mármore, 817 , Belo Horizonte - MG, 31010-220
Chapa Mágica;-19.8444932;-43.9231461;Av. Waldomiro Lobo, 305 , Guarani, Belo Horizonte - MG, 31814-620
Choperia América Norte Sul;-19.9615872;-43.9847596;R. Chico Rei, 190 , Estrela do Oriente, Belo Horizonte - MG, 30580-300
Chopp da Esquina;-19.9432796;-43.9684262;R. Garret, 263 , Nova Granada, Belo Horizonte - MG, 30431-355
Cipoeiro Bar;-19.8886426;-43.9960496;Rua Desembargador José Satyro, 451 , Belo Horizonte - MG, 30840-490
Comida & Prosa;-19.9305226;-43.9596669;Av. Francisco Sá, 306 , Belo Horizonte - MG, 30411-145
Companhia do Dino;-19.8396478;-43.9332774;Avenida Joaquim Clemente, 682 , Floramar, Belo Horizonte - MG, 31840-340
Conectados Bar;-19.9229528;-43.9590824;Av. Francisco Sá, 280 , Prado, Belo Horizonte - MG, 30411-145
COSMOS;-19.8899984;-43.9086241;R. Vicente Risola, 1305 , Santa Inês, Belo Horizonte - MG, 31080-160
Deck Boi na Brasa;-19.8874746;-43.9964149;R. Desembargador José Satyro, 302  , Manacás, Belo Horizonte - MG, 30840-470
Dona Dora;-19.925814;-43.9404836;R. Rio de Janeiro, 1205 , Centro, Belo Horizonte - MG, 30160-041
Dona Ju Gastro Bar;-19.8446301;-43.8800892;Rua dos Borges, 1520  , Jardim Vitória, Belo Horizonte - MG, 31975-270
Dona Suica;-19.8204997;-43.9675696;Av. João Samaha, 390 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-100
Empório Laís;-19.8900825;-43.9468716;Rua Olavo Andrade, 195 , Belo Horizonte - MG, 31130-270
Espetinho do Boi;-19.9810622;-44.0133834;R. São Paulo da Cruz, 357 , Barreiro, Belo Horizonte - MG, 30642-060
Espetinho do Tilias;-19.8000553;-43.9839421;Praça Manoel Batista Baía, 235  , Belo Horizonte - MG, 31660-190
Espetinho Rei e Família;-19.8388542;-43.977372;Av. Guarapari, 1281 ,  Belo Horizonte - MG, 31560-300
Espetinho São Pedro QUIÓ;-19.9481585;-43.9313917;Rua Cristina, 870 , Belo Horizonte - MG, 30330-130
Espettinho.com;-19.9756214;-43.9751097;R. Eli Seabra Filho, 510 , Buritis, Belo Horizonte - MG, 30575-740
Galpão Flor do Campo;-19.9206937;-43.9068762;Rua Coronel Otávio Diniz, 449 , Belo Horizonte - MG, 30270-360
Garagge Vintage;-19.8315762;-43.9547337;Av. Doutor Cristiano Guimarães, 1258 , Planalto, Belo Horizonte - MG, 31720-300
Geraldin da Cida;-19.936342;-43.968268;Rua Contria, 1459 , Grajaú, Belo Horizonte - MG, 30431-245
Golden Grill;-19.9837734;-44.0036387;R. Amílcar Cabral, 515 , Milionários, Belo Horizonte - MG, 30620-250
Graffica Bar;-19.9248113;-43.9375775;Av. Augusto de Lima, 233, Belo Horizonte - MG, 30160-906
