name;address
Dona Ju Gastro Bar;Rua dos Borges, 1520  , Jardim Vitória, Belo Horizonte - MG, 31975-270
Dona Suica;Av. João Samaha, 390 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-100
Empório Laís;Rua Olavo Andrade, 195 , Belo Horizonte - MG, 31130-270
Espetinho do Boi;R. São Paulo da Cruz, 357 , Barreiro, Belo Horizonte - MG, 30642-060
Espetinho do Tilias;Praça Manoel Batista Baía, 235  , Belo Horizonte - MG, 31660-190
Espetinho Rei e Família;Av. Guarapari, 1281 ,  Belo Horizonte - MG, 31560-300
Espetinho São Pedro QUIÓ;Rua Cristina, 870 , Belo Horizonte - MG, 30330-130
Espettinho.com;R. Eli Seabra Filho, 510 , Buritis, Belo Horizonte - MG, 30575-740
Galpão Flor do Campo;Rua Coronel Otávio Diniz, 449 , Belo Horizonte - MG, 30270-360
Garagge Vintage;Av. Doutor Cristiano Guimarães, 1258 , Planalto, Belo Horizonte - MG, 31720-300
Geraldin da Cida;Rua Contria, 1459 , Grajaú, Belo Horizonte - MG, 30431-245
Golden Grill;R. Amílcar Cabral, 515 , Milionários, Belo Horizonte - MG, 30620-250
Graffica Bar;Av. Augusto de Lima, 233, Belo Horizonte - MG, 30160-906
Iracema bar;R. Almandina, 56 , Santa Teresa, Belo Horizonte - MG, 31010-080
Ivo Grill;Rua Professor Tristão da Cunha, 183 , Planalto, Belo Horizonte - MG, 31720-520
Já Tô Inno;R. Benjamim Dias, 379 , Barreiro, Belo Horizonte - MG, 30640-520
Juzé Bar;R. Carlos Sá, 180, Jardim Atlântico, Belo Horizonte - MG, 31550-200
Köbes Emporium Bar;R. Professor Raimundo Nonato, 31 - A , Santa Tereza, Belo Horizonte - MG, 31010-520
Koqueiros Bar;Av. Silviano Brandão, 1293 , Sagrada Família, Belo Horizonte - MG, 31030-525
Leo da Quadra;R. Oliveira Lisboa, 107 , Barreiro, Belo Horizonte - MG, 30640-470
Locomotivas Bar;R. Carmésia, 568 , Santa Inês, Belo Horizonte - MG, 31080-170
Magnífico Quintal;R. Doutor Jefferson de Oliveira, 56 , Santa Amélia, Belo Horizonte - MG, 31560-230
Magrelo’s bar;Av. Serrana, 635 , Belo Horizonte - MG, 31360-270
Mamute Bar;R. Brás Cubas, 116 , Cruzeiro, Belo Horizonte - MG, 30310-220
Mineiros Beer;R. Romualdo Lopes Cançado, 399 , Castelo, Belo Horizonte - MG, 30840-460
Mulão;R. Marambaia, 291 , Caiçara, Belo Horizonte - MG, 30770-070
Nosso Spetim;Rua dos Astecas, 3219 , Santa Mônica, Belo Horizonte - MG, 31530-300
NUBAR;Avenida dos Engenheiros, 843 , Belo Horizonte - MG, 30840-300
O Fino do Alho;R. Capitão Sérgio Pires, 41 , Minascaixa, Belo Horizonte - MG, 31615-640
Oratório Bar;Av. Brasil, 161 , Santa Efigênia, Belo Horizonte - MG, 30140-000
Parada 10.95 Bar;Avenida dos Engenheiros, 1095 , Alípio de Melo, Belo Horizonte - MG, 30840-300
Parada do Sabor;Av. General Carlos Guedes, 346 , Planalto, Belo Horizonte - MG, 31720-500
Pé de Cana;R. Flórida, 15 , Belo Horizonte - MG, 30310-710
Pé de Goiaba;Av. Amazonas, 4676  , Nova Suíça, Belo Horizonte - MG, 30421-026
Planeta Lúpulo;Av. Guarapari, 108 , Santa Amélia, Belo Horizonte - MG, 31560-300
PoiZé Bar e Petisqueira;R. Pium-I, 686  , Cruzeiro, Belo Horizonte - MG, 30310-080
Prado Beer;Av. Francisco Sá, 590 , Prado, Belo Horizonte - MG, 30441-018
Queremos Frango;Avenida Joaquim Clemente, 730 ,  Belo Horizonte - MG, 31840-340
Quintal do Louzada;Rua Gávea, 358  , Belo Horizonte - MG, 30421-340
Quioxque Botequim Carioca;Rua Henrique Badaró Portugal, 157 , Buritis, Belo Horizonte - MG, 30575-232
Quitandas da Tia Nice Bar;R. Alabastro, 146  , Horto, Belo Horizonte - MG, 31030-080
Recanto da Traíra;Rua Alberto Cintra, 47  , Belo Horizonte - MG, 31160-370
Reforma Bar;Rua Joaquim Nabuco, 577  , Belo Horizonte - MG, 30421-260
Rei da Picanha;Avenida Sebastião de Brito, 400  , Belo Horizonte - MG, 31260-000
